title,img_url,discounted,price
"Brontex 60 mg šnypščiosios tabletės, Šnypščiosios tabletės, N10",https://www.eurovaistine.lt/media/cache/ev_large/96/53/0bdfa997a02ee56f60ba585e1cff.jpg,False,5.36
"ESSENTIALE FORTE N, 600 mg, kietosios kapsulės, N30",https://www.eurovaistine.lt/media/cache/ev_large/d2/fe/7da0a886f8d92aec82b4a63bf2a3.png,False,13.69
"IBUPROM EXPRESS, 400 mg, minkštosios kapsulės, N20",https://www.eurovaistine.lt/media/cache/ev_large/e9/31/508a557cc6f3a821c56067130531.jpg,False,4.7
"MINOXIDIL INTELI, 50 mg/ml, odos tirpalas, N1",https://www.eurovaistine.lt/media/cache/ev_large/b2/0a/ce21ee7673c8d2e2b58cb2e0851c.jpg,False,24.65
"Mezym 20000 V, Skrandyje neirios tabletės, N20",https://www.eurovaistine.lt/media/cache/ev_large/9b/40/c06b7fab04ff2fcb7020c4c6c034.jpg,False,6.29
"LIVOSIL, 140 mg, kietosios kapsulės, N30",https://www.eurovaistine.lt/media/cache/ev_large/5f/4d/d08d5ea4a5ae6a69b97677ca2697.jpg,False,3.99
"MAGNESIUM DIASPORAL, 400mg, milteliai geriamajam tirpalui paketėlyje, N20",https://www.eurovaistine.lt/media/cache/ev_large/9b/8c/3d0163e70ffd1c9e855781af7c31.png,False,10.99
"MEZYM 10000 V, Skrandyje neirios tabletės, N10",,False,2.69
"Gelomyrtol forte, 300mg, skrandyje neirios minkštos kapsulės, N20",,False,6.72
"IBUMETIN, 400 mg, plėvele dengtos tabletės, N20",,False,4.28
"Magnesium-Diasporal, 295,7mg/5g, granulės geriamajam tirpalui, N50",,False,17.49
"NIZORAL, 20 mg/g, 100 ml, Šampūnas, N1",,False,13.19
"OLYNTH HA, 1mg/ml, 10 ml, nosies purškalas (tirpalas), N1",,False,5.0
"Neurorubine Forte Lactab, plėvele dengtos tabletės, N20",,False,6.39
"Vibrocil, 15 ml, nosies lašai, tirpalas, N1",,False,4.79
"MAGNESIUM DIASPORAL DIRECT, Granulės, N20",,False,11.29
"Espumisan L 40 mg/ml geriamieji lašai (emulsija)  30ml, geriamoji emulsija, N1",,False,4.19
"IBUPROM, 400mg, plėvele dengtos tabletės, N20",,False,4.79
"MAGNE B6, 10 ml, Geriamasis tirpalas, N10",,False,5.93
"DETRALEX, 500 mg, plėvele dengtos tabletės, N120",,False,39.89
"ONYTEC, 80 mg/g, vaistinis nagų lakas, N1",,False,24.0
"CANEPHRON INTENS, 36mg/36mg/36mg, dengtos tabletės, N30",,False,13.53
"MAGNE B6, 470 mg/5 mg, dengtos tabletės, N60",,False,7.91
"RENNIE, 680 mg / 80 mg, kramtomosios tabletės, N24",,False,3.29
"PROCTO-GLYVENOL, 400mg/40mg, Žvakutės, N10",,False,10.99
"SINUPRET INTENS, 160mg, dengtos tabletės, N20",,False,13.12
"PARACETAMOL ACTAVIS, 500mg, Tabletės, N20",,False,1.88
"ŠIRDIES LAŠAI VALENTIS, 40 ml su lašintuvu, geriamieji lašai, tirpalas, N1",,False,1.6
"Nolpaza, 20 mg, Skrandyje neirios tabletės, N14",,False,4.0
"ACIC, 200 mg, Tabletės, N25",,False,13.42
"Panangin 316 mg/280 mg, plėvele dengtos tabletės, N30",,False,10.99
"Dolmen, 25mg, plėvele dengtos tabletės, N10",,False,3.51
"BEPANTHEN 50 mg/g su dekspantenoliu, Tepalas, N1",,False,5.19
"IBUPROM EXPRESS, 400 mg, minkštosios kapsulės, N10",,False,2.49
"LIOTON 1000, 100 g, Gelis, N1",,False,16.79
"PERTUSINAS forte, 100 ml, Sirupas, N1",,False,3.51
"VIBROCIL 2,5mg/0,25mg/ml, 15ml, nosies purškalas (tirpalas), N1",,False,5.29
"Otrivin, 1mg/ml, 10 ml, nosies purškalas (tirpalas), N1",,False,3.39
"HELMINTOX 250 mg, plėvele dengtos tabletės, N3",,False,4.58
"Microlax 625mg+90mg+9mg/ml, 5 ml, tiesiosios žarnos tirpalas, N12",,False,13.0
"SEDATIF PC, Tabletės, N90",,False,9.06
"FORLAX 10 g, milteliai geriamajam tirpalui paketėlyje, N20",,False,7.91
"PIASCLEDINE, 300mg, kietosios kapsulės, kietosios kapsulės, N30",,False,24.49
